Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,5.510000,5.630000,5.390000,5.480000,2.198882,0
2011-03-01,5.390000,5.610000,5.230000,5.610000,2.251045,0
2011-04-01,5.660000,5.890000,5.620000,5.890000,2.363397,0
2011-05-01,5.870000,5.870000,5.600000,5.800000,2.327284,0
2011-06-01,5.670000,5.700000,5.410000,5.670000,2.275120,0
2011-07-01,5.730000,5.770000,5.440000,5.440000,2.182832,0
2011-08-01,5.400000,5.400000,4.570000,5.000000,2.006279,0
2011-09-01,4.940000,4.940000,4.380000,4.380000,1.757500,0
2011-10-01,4.200000,5.060000,4.200000,4.920000,1.974178,0
2011-11-01,4.780000,4.950000,4.380000,4.780000,1.918003,0
2011-12-01,4.790000,4.800000,4.460000,4.650000,1.865840,0
2012-01-01,4.730000,5.030000,4.700000,5.020000,2.094579,0
2012-02-01,5.100000,5.370000,5.100000,5.340000,2.228098,0
2012-03-01,5.370000,5.550000,5.210000,5.520000,2.303202,0
2012-04-01,5.570000,5.570000,5.310000,5.420000,2.261478,0
2012-05-01,5.430000,5.460000,4.930000,5.040000,2.102924,0
2012-06-01,4.870000,5.190000,4.860000,5.160000,2.152993,0
2012-07-01,5.200000,5.240000,5.030000,5.110000,2.132131,0
2012-08-01,5.050000,5.270000,5.020000,5.260000,2.194718,0
2012-09-01,5.270000,5.490000,5.260000,5.400000,2.253133,0
2012-10-01,5.410000,5.470000,5.260000,5.280000,2.203063,0
2012-11-01,5.350000,5.350000,5.020000,5.270000,2.198890,0
2012-12-01,5.260000,5.260000,4.850000,5.020000,2.094579,0
2013-01-01,5.130000,5.280000,5.130000,5.280000,2.394238,0
2013-02-01,5.330000,5.400000,5.240000,5.340000,2.421445,0
2013-03-01,5.370000,5.620000,5.370000,5.620000,2.548413,0
2013-04-01,5.560000,5.600000,5.380000,5.600000,2.539343,0
2013-05-01,5.510000,5.940000,5.510000,5.820000,2.639103,0
2013-06-01,5.820000,5.860000,5.560000,5.750000,2.607361,0
2013-07-01,5.820000,6.120000,5.800000,6.090000,2.761536,0
2013-08-01,6.210000,6.230000,5.970000,6.030000,2.734329,0
2013-09-01,6.100000,6.430000,6.100000,6.350000,2.879434,0
2013-10-01,6.420000,6.650000,6.180000,6.590000,2.988263,0
2013-11-01,6.560000,6.850000,6.470000,6.850000,3.106161,0
2013-12-01,6.850000,7.020000,6.130000,6.160000,2.793278,0
2014-01-01,6.100000,6.380000,6.090000,6.170000,3.199844,0
2014-02-01,5.990000,6.560000,5.990000,6.510000,3.376173,0
2014-03-01,6.490000,6.650000,6.190000,6.310000,3.272450,0
2014-04-01,6.400000,6.410000,5.890000,6.050000,3.137610,0
2014-05-01,6.080000,6.170000,5.880000,6.130000,3.179099,0
2014-06-01,6.100000,6.440000,6.080000,6.440000,3.339870,0
2014-07-01,6.530000,6.540000,6.200000,6.260000,3.246520,0
2014-08-01,6.230000,6.670000,6.220000,6.670000,3.459151,0
2014-09-01,6.680000,6.680000,6.420000,6.420000,3.329497,0
2014-10-01,6.310000,6.600000,5.890000,6.600000,3.422848,0
2014-11-01,6.580000,6.760000,6.510000,6.690000,3.469523,0
2014-12-01,6.590000,6.830000,5.770000,5.770000,2.992399,0
2015-01-01,5.770000,5.880000,5.590000,5.740000,3.469058,0
2015-02-01,5.780000,6.180000,5.780000,6.140000,3.710804,0
2015-03-01,6.210000,6.330000,6.070000,6.190000,3.741022,0
